,length,gc
ENSG00000000003,4536,0.399250441
ENSG00000000005,1476,0.424119241
ENSG00000000419,9276,0.425291074
ENSG00000000457,6883,0.411739067
ENSG00000000460,5970,0.429815745
ENSG00000000938,3382,0.5644589
ENSG00000000971,15284,0.369405915
ENSG00000001036,2822,0.430900071
ENSG00000001084,8618,0.393362729
ENSG00000001167,6209,0.463198583
ENSG00000001460,8511,0.484431912
ENSG00000001461,9396,0.469029374
ENSG00000001497,12555,0.419832736
ENSG00000001561,4644,0.344315245
ENSG00000001617,4826,0.628056361
ENSG00000001626,16821,0.385054396
ENSG00000001629,7389,0.420625254
ENSG00000001630,4171,0.418364901
ENSG00000001631,21110,0.366650876
ENSG00000002016,4503,0.438374417
ENSG00000002330,1708,0.599531616
ENSG00000002549,3779,0.448531358
ENSG00000002586,4858,0.499382462
ENSG00000002587,7435,0.485137861
ENSG00000002726,3786,0.588483888
ENSG00000002745,3264,0.418811275
ENSG00000002746,13935,0.477646215
ENSG00000002822,6955,0.556146657
ENSG00000002834,7061,0.573573148
ENSG00000002919,4133,0.505685942
ENSG00000002933,3477,0.575783722
ENSG00000003056,3585,0.429567643
ENSG00000003096,6928,0.430138568
ENSG00000003137,4839,0.600537301
ENSG00000003147,4883,0.46016793
ENSG00000003249,4462,0.594800538
ENSG00000003393,33513,0.387461582
ENSG00000003400,8920,0.451457399
ENSG00000003402,22478,0.459871875
ENSG00000003436,11714,0.416851631
ENSG00000003509,3651,0.422076144
ENSG00000003756,10357,0.43950951
ENSG00000003987,6928,0.437788684
ENSG00000003989,7905,0.416192283
ENSG00000004059,1825,0.593972603
ENSG00000004139,11105,0.554975236
ENSG00000004142,2670,0.521348315
ENSG00000004399,9557,0.596840013
ENSG00000004455,17967,0.48611343
ENSG00000004468,6857,0.425550532
ENSG00000004478,5163,0.525276002
ENSG00000004487,18325,0.417953615
ENSG00000004534,7299,0.469790382
ENSG00000004660,7433,0.57648325
ENSG00000004700,3779,0.411219899
ENSG00000004766,9559,0.356418035
ENSG00000004776,1724,0.627030162
ENSG00000004777,5260,0.646768061
ENSG00000004779,1548,0.5
ENSG00000004799,4544,0.373679577
ENSG00000004809,3907,0.44484259
ENSG00000004838,2889,0.57805469
ENSG00000004846,8796,0.408253752
ENSG00000004848,3114,0.552986513
ENSG00000004864,3710,0.454177898
ENSG00000004866,6526,0.44958627
ENSG00000004897,6824,0.390093787
ENSG00000004939,5125,0.558829268
ENSG00000004948,4222,0.371151113
ENSG00000004961,2343,0.42637644
ENSG00000004975,5321,0.538432625
ENSG00000005001,2384,0.591862416
ENSG00000005007,8934,0.589993284
ENSG00000005020,5361,0.406080955
ENSG00000005022,1555,0.485530547
ENSG00000005059,3555,0.397468354
ENSG00000005073,2669,0.538778569
ENSG00000005075,937,0.573105656
ENSG00000005100,5789,0.472793229
ENSG00000005102,2674,0.531413613
ENSG00000005108,10915,0.372972973
ENSG00000005156,12901,0.498488489
ENSG00000005175,5350,0.421495327
ENSG00000005187,7510,0.420639148
ENSG00000005189,4111,0.463877402
ENSG00000005194,3383,0.44191546
ENSG00000005206,7419,0.638900121
ENSG00000005238,6375,0.549803922
ENSG00000005243,1866,0.549839228
ENSG00000005249,12581,0.384309673
ENSG00000005302,9780,0.443456033
ENSG00000005339,15479,0.467278248
ENSG00000005379,11389,0.591799104
ENSG00000005381,4427,0.555455162
ENSG00000005421,2657,0.444486263
ENSG00000005436,5462,0.373306481
ENSG00000005448,2852,0.563814867
ENSG00000005469,4995,0.367367367
ENSG00000005471,7728,0.399456522
ENSG00000005483,13704,0.417688266
ENSG00000005486,2390,0.574058577
ENSG00000005513,4470,0.651677852
ENSG00000005700,8719,0.370684712
ENSG00000005801,11711,0.447186406
ENSG00000005810,34127,0.367919829
ENSG00000005812,7076,0.392594686
ENSG00000005844,9864,0.532339822
ENSG00000005882,5471,0.581246573
ENSG00000005884,9802,0.574372577
ENSG00000005889,9037,0.42126812
ENSG00000005893,10628,0.40675574
ENSG00000005961,5695,0.533274802
ENSG00000005981,4606,0.416630482
ENSG00000006007,4390,0.451480638
ENSG00000006015,3371,0.596262237
ENSG00000006016,2967,0.518705763
ENSG00000006025,6572,0.587644553
ENSG00000006042,5187,0.499325236
ENSG00000006047,4631,0.587130209
ENSG00000006059,1303,0.481964697
ENSG00000006062,5668,0.517642908
ENSG00000006071,27254,0.50117414
ENSG00000006116,1917,0.523213354
ENSG00000006118,7274,0.61245532
ENSG00000006125,7591,0.462257937
ENSG00000006128,1712,0.460864486
ENSG00000006194,8450,0.484970414
ENSG00000006210,5960,0.55738255
ENSG00000006282,5337,0.616638561
ENSG00000006283,10062,0.593321407
ENSG00000006327,1801,0.634647418
ENSG00000006377,3445,0.543976778
ENSG00000006432,12386,0.447117714
ENSG00000006451,3579,0.441184688
ENSG00000006453,4821,0.498651732
ENSG00000006459,9378,0.441778631
ENSG00000006468,9592,0.389804003
ENSG00000006530,10697,0.403664579
ENSG00000006534,6622,0.586680761
ENSG00000006555,6111,0.53460972
ENSG00000006576,8665,0.356376226
ENSG00000006606,703,0.500711238
ENSG00000006607,14371,0.478602742
ENSG00000006611,4904,0.524673736
ENSG00000006625,1594,0.483688833
ENSG00000006634,4595,0.388030468
ENSG00000006638,2827,0.557481429
ENSG00000006652,7902,0.403568717
ENSG00000006659,904,0.476769912
ENSG00000006695,6756,0.463883955
ENSG00000006704,6499,0.581627943
ENSG00000006712,2850,0.518596491
ENSG00000006715,7752,0.396413829
ENSG00000006740,9322,0.528856469
ENSG00000006744,7002,0.466152528
ENSG00000006747,11626,0.407792878
ENSG00000006756,7026,0.523341873
ENSG00000006757,3411,0.436528877
ENSG00000006788,6120,0.466176471
ENSG00000006831,5831,0.434402332
ENSG00000006837,3149,0.399174341
ENSG00000007001,2957,0.416300304
ENSG00000007038,1967,0.601931876
ENSG00000007047,6656,0.576923077
ENSG00000007062,7457,0.452863082
ENSG00000007080,1661,0.619506321
ENSG00000007129,1977,0.558421851
ENSG00000007168,13771,0.425459299
ENSG00000007171,6129,0.502365802
ENSG00000007174,16941,0.510359483
ENSG00000007202,9232,0.479961005
ENSG00000007216,3226,0.574085555
ENSG00000007237,10158,0.491533766
ENSG00000007255,933,0.587352626
ENSG00000007264,4138,0.523924601
ENSG00000007306,2653,0.503957784
ENSG00000007312,2125,0.606588235
ENSG00000007314,8243,0.569331554
ENSG00000007341,8108,0.456709423
ENSG00000007350,3526,0.497163925
ENSG00000007372,20639,0.514317554
ENSG00000007376,2769,0.668472373
ENSG00000007384,4914,0.612739113
ENSG00000007392,6176,0.516515544
ENSG00000007402,6508,0.602950215
ENSG00000007516,6109,0.652971026
ENSG00000007520,1210,0.644628099
ENSG00000007541,7856,0.661532587
ENSG00000007545,8596,0.579571894
ENSG00000007866,3049,0.611347983
ENSG00000007908,4586,0.386175316
ENSG00000007923,12182,0.466672139
ENSG00000007933,3439,0.431520791
ENSG00000007944,3072,0.467773438
